                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                0.65832,                0.31128,                 1.0744,                0.99967,                0.98529,                0.99122,                0.73643,                 1.0556,                0.33799,                 1.5769,               0.006238,               0.006238,               0.006238
                     97,                0.65479,                0.31252,                 1.0606,                0.99837,                0.98529,                0.99012,                0.71144,                 1.1221,                0.33787,                 1.5543,              0.0061984,              0.0061984,              0.0061984
                     98,                0.65516,                0.30894,                 1.0693,                0.99566,                0.98162,                0.98986,                0.72065,                   1.12,                0.34009,                 1.5471,              0.0061588,              0.0061588,              0.0061588
                     99,                0.65957,                0.31821,                 1.0682,                      1,                0.98473,                0.98957,                0.70689,                 1.1399,                0.35112,                  1.581,              0.0061192,              0.0061192,              0.0061192
                    100,                0.63821,                0.30757,                 1.0503,                0.99594,                0.98529,                0.99133,                  0.724,                 1.1061,                0.33946,                 1.6208,              0.0060796,              0.0060796,              0.0060796
                    101,                0.63909,                0.30474,                  1.058,                0.99684,                0.98529,                0.99005,                0.71203,                 1.1067,                0.34351,                  1.567,                0.00604,                0.00604,                0.00604
                    102,                 0.6416,                 0.3036,                 1.0634,                0.99978,                0.98529,                0.99151,                0.72561,                 1.0708,                0.34509,                 1.6415,              0.0060004,              0.0060004,              0.0060004
                    103,                0.63326,                0.30222,                 1.0627,                0.99914,                0.98529,                0.99084,                0.72744,                 1.1052,                0.35133,                 1.6412,              0.0059608,              0.0059608,              0.0059608
                    104,                0.62831,                0.30725,                 1.0499,                 0.9997,                0.98529,                0.99088,                0.72821,                 1.0488,                 0.3263,                 1.5072,              0.0059212,              0.0059212,              0.0059212
                    105,                 0.6231,                0.30552,                 1.0377,                0.99931,                0.98529,                0.99128,                0.74007,                 1.0428,                0.32806,                  1.419,              0.0058816,              0.0058816,              0.0058816
                    106,                0.61734,                0.29408,                 1.0362,                0.99978,                0.98529,                0.99144,                0.73849,                 1.0573,                0.32494,                 1.4685,               0.005842,               0.005842,               0.005842
                    107,                0.61202,                0.29314,                 1.0351,                0.99975,                0.98529,                0.99112,                0.73175,                 1.0732,                0.34308,                 1.5233,              0.0058024,              0.0058024,              0.0058024
                    108,                 0.6058,                 0.2954,                 1.0306,                0.99969,                0.98529,                0.99101,                0.73278,                 1.0382,                 0.3311,                 1.5181,              0.0057628,              0.0057628,              0.0057628
                    109,                0.60523,                0.29444,                 1.0329,                 0.9997,                0.98529,                0.99126,                0.72013,                 1.1128,                0.34234,                 1.5717,              0.0057232,              0.0057232,              0.0057232
                    110,                0.62288,                 0.2959,                 1.0513,                0.99627,                0.98529,                0.99112,                0.72729,                 1.1324,                0.35883,                 1.7041,              0.0056836,              0.0056836,              0.0056836
                    111,                0.61026,                0.28887,                 1.0346,                0.99964,                0.98529,                0.99109,                0.73778,                 1.0447,                0.33071,                 1.5225,               0.005644,               0.005644,               0.005644
                    112,                0.59627,                0.28576,                 1.0238,                0.99977,                0.98529,                0.99094,                0.74033,                 1.0404,                0.33316,                 1.5826,              0.0056044,              0.0056044,              0.0056044
                    113,                0.60715,                0.29152,                 1.0311,                0.99972,                0.98529,                0.99114,                 0.7398,                 1.0254,                0.31927,                 1.5174,              0.0055648,              0.0055648,              0.0055648
                    114,                0.60146,                0.28631,                 1.0272,                0.99913,                0.98529,                0.99021,                0.71294,                 1.1388,                0.33754,                 1.6409,              0.0055252,              0.0055252,              0.0055252
                    115,                 0.5965,                0.28694,                 1.0257,                0.99976,                0.98529,                 0.9908,                0.72437,                 1.0994,                0.34753,                 1.6395,              0.0054856,              0.0054856,              0.0054856
                    116,                 0.5983,                0.27977,                 1.0325,                0.99969,                0.98529,                0.99135,                0.72218,                 1.1047,                0.34923,                 1.4957,               0.005446,               0.005446,               0.005446
                    117,                0.59534,                0.29121,                 1.0186,                0.99627,                 0.9814,                0.99075,                0.72866,                 1.1107,                0.34745,                  1.542,              0.0054064,              0.0054064,              0.0054064
